epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.412,1.82488,2.86724,1.54031,0.58357,0.58972,0.57902,0.27724,1.81047,2.32367,1.53134,0.000552902,0.000552902,0.000552902
2,218.867,1.70967,1.71077,1.4239,0.42784,0.50767,0.4146,0.17941,1.90858,1.9444,1.53824,0.00107199,0.00107199,0.00107199
3,324.216,1.67719,1.47447,1.39411,0.71727,0.67382,0.75972,0.3853,1.70499,1.40622,1.45537,0.0015544,0.0015544,0.0015544
4,429.404,1.67739,1.36852,1.37633,0.72404,0.70814,0.775,0.39277,1.64786,1.46731,1.42316,0.00150197,0.00150197,0.00150197
5,534.172,1.63761,1.29596,1.35794,0.79867,0.7088,0.82034,0.43423,1.60627,1.21186,1.40074,0.00144696,0.00144696,0.00144696
6,639.063,1.59913,1.20765,1.33269,0.75216,0.7761,0.82912,0.44107,1.60799,1.16076,1.36448,0.00139195,0.00139195,0.00139195
7,744.722,1.56726,1.1415,1.3081,0.83185,0.77149,0.86925,0.46703,1.57476,1.01988,1.34847,0.00133693,0.00133693,0.00133693
8,850.496,1.5425,1.09345,1.28996,0.82497,0.75698,0.85388,0.46625,1.56632,1.07613,1.33644,0.00128192,0.00128192,0.00128192
9,953.337,1.52374,1.04462,1.27982,0.84851,0.80671,0.88379,0.49456,1.52577,0.9401,1.30491,0.00122691,0.00122691,0.00122691
10,1058.44,1.50573,1.0279,1.26907,0.83283,0.80344,0.88615,0.49116,1.55241,0.93067,1.34511,0.0011719,0.0011719,0.0011719
11,1163.03,1.49309,0.99697,1.26308,0.86694,0.83209,0.91743,0.5016,1.51904,0.85787,1.29939,0.00111689,0.00111689,0.00111689
12,1271.07,1.47408,0.97249,1.24964,0.80836,0.81585,0.88178,0.49791,1.50446,0.88513,1.29524,0.00106188,0.00106188,0.00106188
13,1378.19,1.4472,0.93042,1.23514,0.86715,0.87465,0.93168,0.54645,1.42742,0.76917,1.24685,0.00100687,0.00100687,0.00100687
14,1483.48,1.43988,0.90868,1.22741,0.85788,0.8764,0.93181,0.53806,1.44209,0.79833,1.25628,0.000951857,0.000951857,0.000951857
15,1588.08,1.41534,0.88889,1.21995,0.86192,0.88137,0.93081,0.54469,1.43416,0.77486,1.24078,0.000896846,0.000896846,0.000896846
16,1692.67,1.41084,0.87275,1.21196,0.8658,0.90195,0.94305,0.55385,1.41058,0.75265,1.2394,0.000841835,0.000841835,0.000841835
17,1798.85,1.39631,0.85586,1.20058,0.88895,0.8882,0.94979,0.55826,1.41035,0.70752,1.23063,0.000786824,0.000786824,0.000786824
18,1904.26,1.37701,0.82518,1.19736,0.86981,0.89572,0.94584,0.54684,1.41647,0.71635,1.23063,0.000731813,0.000731813,0.000731813
19,2009.46,1.36836,0.81238,1.18983,0.88146,0.88999,0.94341,0.55888,1.39678,0.7166,1.2213,0.000676802,0.000676802,0.000676802
20,2114.8,1.36311,0.7894,1.1886,0.88956,0.89162,0.94985,0.56311,1.39533,0.69894,1.21827,0.000621791,0.000621791,0.000621791
21,2214.88,1.35158,0.69721,1.2119,0.88567,0.90569,0.957,0.58245,1.35205,0.66007,1.19361,0.00056678,0.00056678,0.00056678
22,2309.73,1.32061,0.66866,1.1971,0.9069,0.90993,0.96358,0.58236,1.36472,0.64942,1.19708,0.000511769,0.000511769,0.000511769
23,2404.13,1.3108,0.65937,1.18816,0.90394,0.90482,0.96032,0.58882,1.3421,0.64138,1.17997,0.000456758,0.000456758,0.000456758
24,2501.19,1.29135,0.6376,1.17691,0.91252,0.91559,0.96771,0.59332,1.33162,0.62333,1.17993,0.000401747,0.000401747,0.000401747
25,2596.09,1.28317,0.62711,1.16756,0.91275,0.91527,0.96542,0.58964,1.33183,0.61434,1.17613,0.000346736,0.000346736,0.000346736
26,2690.72,1.25531,0.60744,1.15992,0.9268,0.92631,0.97266,0.60743,1.30547,0.59205,1.1624,0.000291725,0.000291725,0.000291725
27,2786.77,1.24416,0.59601,1.15366,0.91,0.93061,0.97045,0.60437,1.30717,0.58656,1.16155,0.000236714,0.000236714,0.000236714
28,2881.51,1.22746,0.58486,1.14212,0.91755,0.93232,0.97359,0.61195,1.29863,0.57881,1.15871,0.000181703,0.000181703,0.000181703
29,2976.01,1.21054,0.57328,1.13006,0.91561,0.93028,0.97333,0.615,1.28797,0.5726,1.15097,0.000126692,0.000126692,0.000126692
30,3071.05,1.19416,0.56547,1.12735,0.93441,0.91983,0.97382,0.61234,1.28956,0.56898,1.15296,7.1681e-05,7.1681e-05,7.1681e-05
