epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.117,1.98063,3.30084,1.56755,0.57659,0.56897,0.60335,0.28052,1.76326,13.9196,1.48639,0.000552902,0.000552902,0.000552902
2,236.345,1.79731,1.78657,1.40457,0.69129,0.60739,0.62629,0.23502,2.0227,6.20621,1.61881,0.00108662,0.00108662,0.00108662
3,355.65,1.76211,1.46282,1.37304,0.57902,0.54839,0.55705,0.23732,2.08282,6.71815,1.66448,0.00159833,0.00159833,0.00159833
4,471.883,1.76503,1.38447,1.3652,0.66416,0.64338,0.69596,0.3477,1.72787,3.64437,1.45709,0.00156798,0.00156798,0.00156798
5,585.626,1.71739,1.30719,1.33317,0.75613,0.725,0.79287,0.40711,1.66449,6.33619,1.44353,0.00153497,0.00153497,0.00153497
6,706.895,1.68129,1.25533,1.32071,0.82074,0.74482,0.8259,0.43538,1.63985,2.41754,1.42278,0.00150197,0.00150197,0.00150197
7,821.898,1.64225,1.16038,1.28857,0.83521,0.77593,0.86505,0.46578,1.57479,1.68357,1.34998,0.00146896,0.00146896,0.00146896
8,937.835,1.62543,1.11935,1.27081,0.80631,0.84407,0.88902,0.47338,1.57682,4.55941,1.35097,0.00143595,0.00143595,0.00143595
9,1053.86,1.60375,1.08342,1.26413,0.82716,0.82048,0.89052,0.4971,1.5209,1.25209,1.33364,0.00140295,0.00140295,0.00140295
10,1169.27,1.60089,1.07217,1.25795,0.80699,0.8445,0.90078,0.47265,1.56935,1.29357,1.33875,0.00136994,0.00136994,0.00136994
11,1286.72,1.57574,1.03204,1.24571,0.80541,0.84901,0.90488,0.48719,1.53431,1.79939,1.30382,0.00133693,0.00133693,0.00133693
12,1400.42,1.55757,1.01382,1.23467,0.83926,0.8003,0.88524,0.49068,1.50212,1.3238,1.3059,0.00130393,0.00130393,0.00130393
13,1514.54,1.53915,0.9947,1.22625,0.84895,0.85208,0.91747,0.52101,1.43981,1.17538,1.25261,0.00127092,0.00127092,0.00127092
14,1630.23,1.5385,0.97326,1.22436,0.86141,0.82891,0.91852,0.50756,1.49829,2.61646,1.28894,0.00123791,0.00123791,0.00123791
15,1743.86,1.50959,0.94273,1.2093,0.86865,0.85135,0.93474,0.51453,1.47816,1.35664,1.26214,0.00120491,0.00120491,0.00120491
16,1860.36,1.51271,0.93892,1.21173,0.85672,0.87779,0.92553,0.52467,1.45083,1.10914,1.25809,0.0011719,0.0011719,0.0011719
17,1973.66,1.5079,0.91827,1.19375,0.86906,0.8652,0.92748,0.53027,1.41284,0.92534,1.22897,0.00113889,0.00113889,0.00113889
18,2089.09,1.4815,0.89674,1.19208,0.86263,0.88394,0.93386,0.52615,1.44024,1.06644,1.25452,0.00110589,0.00110589,0.00110589
19,2202.1,1.48631,0.89257,1.19406,0.87091,0.87289,0.94053,0.53223,1.46601,1.34673,1.27415,0.00107288,0.00107288,0.00107288
20,2317.81,1.47038,0.87057,1.19195,0.87123,0.88326,0.94466,0.5346,1.42245,1.05846,1.24502,0.00103987,0.00103987,0.00103987
21,2434.11,1.46369,0.87327,1.1805,0.87302,0.89234,0.94279,0.54172,1.41033,1.05658,1.21299,0.00100687,0.00100687,0.00100687
22,2550.2,1.45334,0.84571,1.17995,0.87225,0.90608,0.95096,0.54984,1.39234,0.92678,1.21682,0.000973861,0.000973861,0.000973861
23,2664.94,1.45331,0.84006,1.17281,0.88682,0.90002,0.95486,0.54793,1.39813,0.77338,1.21417,0.000940855,0.000940855,0.000940855
24,2777.9,1.43345,0.82523,1.1631,0.87688,0.90735,0.94583,0.54908,1.37519,0.78757,1.19032,0.000907848,0.000907848,0.000907848
25,2891.49,1.42763,0.80933,1.16185,0.88839,0.9041,0.95602,0.56484,1.35062,1.03712,1.18845,0.000874842,0.000874842,0.000874842
26,3006.02,1.40502,0.80537,1.15688,0.88518,0.90743,0.95759,0.559,1.35409,0.72493,1.18686,0.000841835,0.000841835,0.000841835
27,3122.33,1.40807,0.7951,1.15587,0.8861,0.91101,0.96018,0.56221,1.36485,0.88928,1.19436,0.000808828,0.000808828,0.000808828
28,3237.09,1.39864,0.78528,1.15093,0.88875,0.91261,0.96233,0.56206,1.35076,1.06124,1.17012,0.000775822,0.000775822,0.000775822
29,3351.74,1.3942,0.77549,1.1402,0.91018,0.89784,0.96255,0.56394,1.3483,0.82507,1.17428,0.000742815,0.000742815,0.000742815
30,3467.68,1.39982,0.78073,1.15473,0.91372,0.89223,0.96217,0.56624,1.34528,0.77281,1.17594,0.000709809,0.000709809,0.000709809
31,3582.64,1.38386,0.76249,1.13797,0.89857,0.91204,0.96543,0.57089,1.34892,0.82943,1.16841,0.000676802,0.000676802,0.000676802
32,3698.28,1.36903,0.75026,1.13207,0.91037,0.90566,0.96736,0.57174,1.3399,0.78127,1.16269,0.000643795,0.000643795,0.000643795
33,3812.77,1.37205,0.74634,1.13252,0.89303,0.92046,0.96319,0.57561,1.32368,0.81257,1.1604,0.000610789,0.000610789,0.000610789
34,3928.82,1.35401,0.73073,1.12642,0.90467,0.92239,0.96652,0.57731,1.31922,0.82374,1.14952,0.000577782,0.000577782,0.000577782
35,4046.34,1.3592,0.72405,1.12111,0.91632,0.90713,0.96533,0.57939,1.31572,0.8929,1.14359,0.000544776,0.000544776,0.000544776
36,4161.82,1.33937,0.72411,1.12393,0.90238,0.92121,0.96628,0.58263,1.31933,0.89212,1.15757,0.000511769,0.000511769,0.000511769
37,4279.45,1.33499,0.7074,1.11692,0.89527,0.93008,0.96642,0.58575,1.29797,0.74104,1.13584,0.000478762,0.000478762,0.000478762
38,4395.56,1.32175,0.70832,1.11007,0.91322,0.91476,0.96915,0.58748,1.31611,0.7754,1.15172,0.000445756,0.000445756,0.000445756
39,4510.76,1.31702,0.68962,1.10604,0.90959,0.92179,0.97017,0.58641,1.30316,0.75038,1.13809,0.000412749,0.000412749,0.000412749
40,4625.79,1.31565,0.68404,1.10599,0.90957,0.92673,0.97058,0.59293,1.28968,0.72875,1.13178,0.000379743,0.000379743,0.000379743
41,4735.13,1.29287,0.60111,1.13665,0.90431,0.93512,0.97011,0.58964,1.2854,0.70763,1.13344,0.000346736,0.000346736,0.000346736
42,4838.45,1.27297,0.58754,1.13563,0.90858,0.92246,0.97091,0.5917,1.2814,0.72172,1.13105,0.000313729,0.000313729,0.000313729
43,4941.39,1.26399,0.57699,1.12151,0.90819,0.92209,0.97123,0.59503,1.27068,0.66624,1.12339,0.000280723,0.000280723,0.000280723
44,5043.96,1.25556,0.57423,1.12235,0.90806,0.9252,0.97059,0.59653,1.26915,0.69869,1.12369,0.000247716,0.000247716,0.000247716
45,5148.16,1.25125,0.56804,1.11656,0.92031,0.91557,0.97247,0.59704,1.26475,0.68523,1.12322,0.00021471,0.00021471,0.00021471
46,5253.32,1.23528,0.56124,1.11776,0.91577,0.92258,0.97326,0.59697,1.27051,0.63369,1.12348,0.000181703,0.000181703,0.000181703
47,5356.48,1.22608,0.55359,1.10923,0.92224,0.9187,0.97402,0.59884,1.25538,0.62133,1.11882,0.000148696,0.000148696,0.000148696
48,5460.45,1.21585,0.54529,1.09934,0.92385,0.92057,0.97291,0.6017,1.25532,0.65742,1.11803,0.00011569,0.00011569,0.00011569
49,5564.53,1.20789,0.54505,1.09457,0.91565,0.92805,0.97345,0.60282,1.25222,0.65012,1.11402,8.26832e-05,8.26832e-05,8.26832e-05
50,5670.18,1.2078,0.53886,1.09737,0.91686,0.92585,0.97386,0.60476,1.25163,0.64115,1.11324,4.96766e-05,4.96766e-05,4.96766e-05
